id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
4374167,open at the close,06cbda2c7cfac2bb7e921af48012320a5e5660179656ea443b70c9ddb3eed5d1,[],8+0+1+,10+0+,"[""one day I'll write something long""]",en,216,1/1,3,45,1,753,2015-07-19,G,M,N,C
4371887,once upon a dream,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],9+2+1+,58+35+,['cute workout kissies!'],en,664,1/1,10,212,15,1868,2015-07-19,G,M,N,C
4372253,been too long,8dddfb96c5c3fbc99a6bf867120db8aeca6512d2cc1df17ab33eb148f28e6d21,[],11+1+3+5+2+0+4+,116+35+,"['Kim Namjoon | Rap Monster', 'lapslock', 'slight angst']",en,1744,1/1,1,105,7,1489,2015-07-19,G,M,N,C
4375961,you're unbelievable (can't miss this chance to take you),f186762bbc8aa7447a5fbc746aeec9e5c8f6e5d318faa7adecd3821773f56f72,[],46+5+4+,+,"['mentions of maknae line poly', 'the rest of bangtan all appear too', 'drunk makeouts', 'i dont even know how to tag this', ""but i'm all abt the dom!seokjin life""]",en,1286,1/1,22,663,54,5359,2015-07-19,T,M,N,C
4376483,Hot Trip,1447cca7eb31c9de6f43202edbeb7ef5d4259fa7de9e387834b04f63ea9920c7,[],59+5+0+,3247+1706+3546+95+27+1616+936+636+939+1447+5+,"['Kim Namjoon | Rap Monster', 'sin city - Freeform', 'Vegas', 'Drinks', 'im not new to fanfics though', 'just returning from my anime writing phase', 'moving onto different things', 'lol']",en,3763,1/1,2,86,9,3054,2015-07-19,M,H,C,C
4376921,4 Steps: Namjoon KitchenGod!AU,9839a95baf9a714410785e9d492c7f85afe139e42c46aef0248221a9d6723d58,[],+,0+65+13+113+,"['Kim Namjoon | Rap Monster/Original Female Character(s)', 'Kim Namjoon | Rap Monster/You', 'Kim Namjoon | Rap Monster']",en,707,1/1,6,88,4,1467,2015-07-19,G,H,N,C
4377332,Giggles,669082a9a3819e67a5acb606dc5eacf70c881e294f1ad07b0ae7ee0ce7b175a5,[],0+,313+0+,"['Jeon Jungkook/Kim Namjoon | Rap Monster', 'Kim Namjoon | Rap Monster']",en,420,1/1,12,252,13,3821,2015-07-19,T,M,N,C
4377956,Pay Attention to Me,41fd26ddd18609295592553d356e40b8b710e158285e9b8810fb65457ecb777a,[],8+1+0+3+,116+,"['Park Jimin (15&)', 'some vhope and yoonjin', 'minor rapmonster/yerin (15&)']",en,2029,1/1,6,141,10,3386,2015-07-19,G,M,N,C
4378244,Drunken Shakespeare,8407da56d6f244d1c81c925b9d76670cc87dfae58fcd01880da805b5044b7aa4,[],16+4+2+,+,['drunk seokjin'],en,749,1/1,7,146,5,2386,2015-07-19,G,M,C,C
4379993,The Mark of an Educated Mind,0d31d24cae8d03ef8d2401a7a854cca9f02aa4318fa414c2f3d0f6d4a30d8bfa,[],4+,2399+116+1798+,"['Kim Namjoon | Rap Monster/Kim Seokjin | Jin', 'Kim Namjoon | Rap Monster', 'background yoonmin']",en,6908,1/1,262,6297,1257,78759,2015-07-20,G,M,N,C
4380551,work ethic,f8f58b370d4ed09665918776631f8db79ca8b365133eb54a53bd6f6b353ef575,[],2+0+,35+,"['Pre-debut', 'basically jeongguk and yoongi becoming close']",en,678,1/?,2,46,4,659,2015-07-20,T,O,C,W
4380857,good morning escapades,e66cbe3c731cedefa66b61c867c1597cb8c49ac5afb1fa815ca355582fbb0164,[],32+5+3+1+,0+35+,"['dick grabbing involved', 'there is like .5 seconds of yoonmin in it']",en,516,1/1,1,94,2,1487,2015-07-20,T,M,C,C
4380902,You Had Me at Hello,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,['K-pop'],32+3+5+1+0+2+4+,11+3394+0+245+,"['side Kim Namjoon | Rap Monster/Kim Seokjin | Jin', 'side Min Yoongi | Suga/Park Jimin', 'Kim Namjoon | Rap Monster', 'Kinda', 'One of my few fics in which all of the characters are cisgender']",en,4244,1/1,8,204,19,2783,2015-07-20,G,M,C,C
4380938,team bonding,297267fca27416404e111f2ef656a5e60a9221bf74e40ca0687ecdc588ace9f2,[],2+,656+,"['Kim Namjoon | Rap Monster/Min Yoongi | Suga', 'OT7 - Relationship', 'Kim Namjoon | Rap Monster', 'the rest of bangtan too lmao']",en,962,1/1,7,280,24,5292,2015-07-20,G,M,CN,C
